name	code
CSRD Salmon Arm, Golden, Sicamous, Revelstoke LFG Assessment	PRJ22010
Strawberry Hill Waste Facility Construction Admin and QAQC	PRJ22011
TteS Landfill Closure Construction Admin and QAQC	PRJ22012
Revelstoke Landfill - Closure Tender Support	PRJ22013
YVR Marine Receiving Area Methane Investigations for RAM	PRJ22014
Central Subregion LF GHG reduction Feasibility Study for ICIP Grant Application	PRJ22015
Hartland Landfill Stockpile Stability	PRJ22016
HVC 2021 Lornex Landfill Annual Report	PRJ22017
HVC Annual Report 2021	PRJ22017
Haines Junction SWMP	PRJ22018
Mission Flats Landfill - Operational Support	PRJ22020
Atlantic Power Annual Reporting 2022	PRJ22021
7 Mile DOCP Update	PRJ22022
Kamloops Landfills - Quarterly Surveys	PRJ22023
Prince Rupert Waste Disposal Support	PRJ22024
KRRC Phase 3 Expansion - Detailed Design	PRJ22025
KRRC Phase 3 Detailed Design	PRJ22025K
Creston Landfill - Phase 1E Detailed Design, Tendering and QAQC	PRJ22026
Creston Phase 1E Detailed Design	PRJ22026
Vernon Organics Engagement	PRJ22028
Central Subregion LF Supplementary LFG Generation Assessment	PRJ22029
Columbia Valley LF Supplementary LFG Generation Assessment	PRJ22030
Vernon Refuse Collection Bylaw Update	PRJ22031
CRD Hartland LF 5-year LFG Consultation Support	PRJ22032
DSS Monitoring 2022	PRJ22033
Meadowland Monitoring 2022	PRJ22034
Third Street Monitoring 2022	PRJ22035
Hope Monitoring 2022	PRJ22036
Meziadin Landfill 2021 Annual Monitoring Report	PRJ22037
Anmore Website RFP	PRJ22038
GFL Bioswale Engineering Design Highwest	PRJ22039
Campbell Mountain Landfill BioCover Engineering Support	PRJ22040
Haida Gwaii Landfill Solar Flare Installation Support (Islands)	PRJ22041
Quesnel Landfill LFG Migration Control System Detailed Design & CQA	PRJ22042
Hartland Landfill Planning for Cell 4 and 5 Liner	PRJ22043
GFL Dawson Creek Industrial Landfill Permitting	PRJ22044
Mission Flats Landfill - Methane Emissions Measurements	PRJ22045
Hartland Landfill Leachate Containment Strategy	PRJ22046
Cariboo RD Site Surveys Williams Lake 100 Mile House	PRJ22047
7 Mile Annual Report 2021	PRJ22048
Leachate Management Plan Update	PRJ22049
Gibraltar Land ENG Support 2022	PRJ22050
Lillooet Landfill - Blast Media Acceptance Review	PRJ22051
Squamish Landfill Lateral Expansion Concept Design	PRJ22052
Barnhartvale DOCP	PRJ22053
Barnhartvale Landfill DOCP Update	PRJ22053K
Central Annual Report	PRJ22054K
Central Subregion Landfill Annual Report	PRJ22054K
Port Metro Vancouver Support for Lagoons	PRJ22055
Sechelt Landfill Expansion Feasibility Assessment	PRJ22056
Summerland Landfill DOCP and Master Plan	PRJ22057
Summerland Sanitary Landfill Master Plan and DOCP	PRJ22057K
Ocean Trailer Development  Port Edward, B.C	PRJ22058
Islands Landfill 2022 Report and Engineering Support	PRJ22059
Sub-Slab Methane Mitigation Consulting Support with BBA	PRJ22060
Inter River Park GHG Emission Assessment 2022	PRJ22061
RDEK GW Monitoring Year 3	PRJ22062
RDEK Groundwater Monitoring Year 3	PRJ22062K
Central Subregion Landfill - Volumetric Analysis	PRJ22063K
Mission Flats Landfill - LFG Expansion QAQC	PRJ22064K
Gold Bridge TS Septic Trench Risk Assessment	PRJ22065K
PRRD Landfills Annual Reporting 2021	PRJ22066K
REDEK Legacy Landfill Assesment	PRJ22067K
Revelstoke Landfill - Closure QAQC	PRJ22068K
Port Metro Vancouver Leachate Treatment Survey	PRJ22070
Bailey Landfill LFG System Review Site Visit	PRJ22071
CRD South Cariboo Site Surveys 2022	PRJ22072
CRD Williams Lake Landfill Landslide Response	PRJ22073
Billy Lake Dam - Dam Inspection	PRJ22074
Domtar Quarterly Inclinometer Monitoring	PRJ22075
Creston Landfill Flare Annual Service and 2021 GHG Reporting	PRJ22076
Radium Transfer Station Design	PRJ22077K
Columbia Valley Landfill - Volumetric Analysis	PRJ22078K
Inter River Park BioFilter Construction Support	PRJ22079
Sub Slab Methane Health and Safety Review	PRJ22081
KRRC Filling Area Improvements - Construction Administration	PRJ22082
Creston Landfill - Phase 2 Filling Plan	PRJ22083
Alberni Valley Landfill - Phase 1 Scope Change	PRJ22084
Vancouver Landfill DOPC	PRJ22085
VLF - Consulting Services for Landfilll Design, Operations and Progressive Plan	PRJ22085
Bailey Landfill Comprehensive LFG Management System Review	PRJ22086
Whitecourt Landfill - Expansion Design and Approvals	PRJ22087
BCQLO - Williams Lake: Sept. 27-28	PRJ22088
SIWMA - Salmon Arm: Sept 21-23	PRJ22089
Howe Sound Pulp and Paper 2022 Engineering	PRJ22090
Lillooet Landfill - Soil Acceptance Review	PRJ22091
Ralmax - Engineering Services	PRJ22092
Kelowna Glenmore RDO Accident Expert Wittness	PRJ22093
CP Staff Housing Testing Support	PRJ22094K
Alberni Clayoquot Regional District Site Survey	PRJ22095
SkideGate Septage Lagoon Treatment Management Plan	PRJ22096
Landfill Due Diligence Review for E360s	PRJ22097
MFL Transfer Station Trailer Relocation	PRJ22098
Kruger Landfill - Mine Operations Mapping	PRJ22099
Quesnel Landfill - Drainage Discussions	PRJ22100
Inter River - Well Head Inspection	PRJ22101
Alpha Leachate Collector	PRJ22102
Forceman Landfill Compaction Survey 2022	PRJ22103
Kamloops Archeology Material Management	PRJ22104
Quesnel Landfill Annual Report - 2021	PRJ22106
Lillooet Landfill - Compost Facility Compliance Review	PRJ22107
Inter River Monitoring Report 2022 - Billed to PRJ21008	PRJ22108
Hartland Landfill Cell 4 5  6 Liner Related Infrastructure Design Services	PRJ23001
MFL LFG Monitoring and Maintenance	PRJ23002
UBC Compost Management Support	PRJ23003
Revelstoke Landfill - Phase 1 Closure QAQC 2023	PRJ23004
Third Street LF Monitoring 2023	PRJ23005
Kamloops Landfills Quarterly Aerial Surveys 2023	PRJ23006
DSS Pump Station Inspection	PRJ23007
Salmon Arm DOCP Update	PRJ23008
Sicamous DOCP Update	PRJ23009
Meadowland Monitoring 2023	PRJ23010
Lillooet Landfill Annual Report - 2022	PRJ23011
Hope Monitoring 2023	PRJ23012
Highland Valley Copper - Annual Report 2022	PRJ23013
SLRD - Lillooet Landfill Soil Acceptance Criteria	PRJ23014K
KRRC Downchute Detailed Design and QAQC	PRJ23015
Rupert Landfill Workshop	PRJ23016
Rupert Landfill 2023 Time & Materials	PRJ23017
Islands Landfill 2023 Engineering Support	PRJ23018
Summerland Landfill - 2022 Annual Report	PRJ23019
RDKS Iskut and Kitwanga 2022 EEMP Reports	PRJ23020
Hope Landfill Road Design for Canyon Aggregates	PRJ23021
LFG Investigation - China Creek South Skatepark Upgrades	PRJ23022
Barnhartvale & KRRC Supplementary LFG Generation Assessment	PRJ23023
District of Sechelt Septage Receiving Facility Long-Term Plan	PRJ23024
Gracia Landfill	PRJ23025
CRD Site Surveys 2023	PRJ23026
CRD South Cariboo Landfill Perimeter Road Design	PRJ23027
Eskay Creek Mine Landfill Design Support	PRJ23028
RDEK Landfill Annual Reports - Central, Sparwood, Columbia Valley	PRJ23029
DSS Monitoring 2023	PRJ23030
DSS Pump Station Repair Support	PRJ23031
Kitwanga Landfill Closure Support 2023	PRJ23032
GFL Squamish Landfill	PRJ23033
Port Metro Lagoon Support	PRJ23034
Squamish Landfill Monitoring Q1-Q2 2023	PRJ23035
Sparwood Landfill DOCP	PRJ23036
Sparwood Landfill Conformance Review	PRJ23037
Vancouver Landfill Phase 5 Closure	PRJ23038
HVC DOCP Update	PRJ23039
Meziadin Landfill Wetland Design and Construction Services	PRJ23040
Bailey Landfill NE Wedge Liner Extension RFP	PRJ23041
Rupert Phase 1 Closure 2023	PRJ23042
Rupert Ministry Requirements 2023	PRJ23043
Rupert Lagoon Upgrades 2023	PRJ23044
KRRC - Safe Slope Review	PRJ23045
Island Landfill Flare Service and 2022 GHG Quantification	PRJ23046
Hope Landfill Legal Advice	PRJ23047
Hazelton Drone Survey Apr 2023	PRJ23048
Couger Aggregates Contaminated Soil Landfill Permitting	PRJ23049
RDEK Tranfer Station Services Review	PRJ23050
Creston LFG Contract	PRJ23051
7 Mile LF 2022 Annual Report and GHG Quantification	PRJ23052
RDCK LFG Generation Assessments	PRJ23053
SWANA MOLO Course	PRJ23054
Revelstoke Landfill - LFG Flare Install	PRJ23055
Alberni Landfill Phase 1 Design Update	PRJ23056
Central Landfill Leachate Management Plan	PRJ23057
RDEK Environmental Monitoring Year 4	PRJ23058
RDCK Transfer Station Upgrades (Rosebery, Slocan, Nakusp)	PRJ23059
Atlantic Power Annual Monitoring 2023	PRJ23060
KRRC Downchute Borrow Area Access Road Design	PRJ23061
Squamish Comprehensive Engineering July 2023 - July 2024	PRJ23062
Salmon Arm Landfill - 2023 Engineering	PRJ23063
Kamloops Landfills	PRJ23064
Howe Sound Pulp and Paper 2023 Engineering	PRJ23065
RDEK Soil Acceptance QP Review	PRJ23066
Cultus Lake Closure Cost Update	PRJ23067
Lillooet Landfill DOCP - language update	PRJ23068
Inter River Park Wellhead Repair	PRJ23069
Lillooet Landfill LFG and Test Pitting Investigation	PRJ23070
SCRD Landfill Biocover Feasibility Study	PRJ23071
KRRC DOCP	PRJ23072
FortisBC Waste Life Cycle Analysis for Didtrict of Squamish	PRJ23073
Squamish Landfill Operations Support July 2023 - July 2024	PRJ23074
Forceman Landfill Remaining Airspace Analysis	PRJ23075
RDOS Operations Support	PRJ23076
Cougar Aggregates Landfill Project Permitting	PRJ23077
Inter River ATF Technical Support	PRJ23078
KRRC Leachate Management Plan	PRJ23079
SLRD Wildfire Debris Management	PRJ23080
Cowichan Illegal Dump Investigation for ENV	PRJ23081
Hope Legal Support	PRJ23082
Meziadin Hazelton Landfill Remaining Airspace Analysis	PRJ23083
CRD Rotational Consulting until 2026	PRJ23084
7 Mile Landfill - Landfill Contractor RFP Support	PRJ23085
Alberni Clayoquot Regional District Site Survey	PRJ23086
Fairmont Transfer Station - Phase 2 Assessment	PRJ23087
Skway Landfill Flare Service 2023	PRJ23089
Quesnel Landfill - 2023 Annual Report	PRJ23090
Squamish Well Repair	PRJ23091
Summerland Landfill -  Annual Report 2023	PRJ23093
Kruger Mill - GW well repair	PRJ23094
Squamish Landfill LFG Support for ISWM	PRJ23095
Islands Landfill Conformance Review	PRJ23096
Campbell Mtn Landfill - North Ravine Berm Design	PRJ23097
Skway Landfill Flare Of&M 2024	PRJ23098
Inter River Park 2023 GHG Survey for ECCC	PRJ23099
Squamish LFG System Expansion Construction Support	PRJ23100
Campbell Mtn Landfill - GMW Decommissioning	PRJ23101
Carnberry Landfill Permitting	PRJ23102
Arrow Composting - Impermeable Pad Analsyis	PRJ24001
Summerland DOCP Presentation_Internal	PRJ24002
RDEK Landfills - Annual Reporting for 2023	PRJ24003
Third Street Monitoring 2024	PRJ24004
Meadowland Monitoring 2024	PRJ24005
Mission Flats Landfill LFG Annual Report 2023	PRJ24006
Kamloops Landfills Quarterly Aerial Surveys	PRJ24007
Golden Landfill - 2024 DOCP Update	PRJ24008
Islands Landfill 2024 Engineering Support	PRJ24009
Cariboo CRD Site Surveys 2024	PRJ24010
Stswékstem Engineered Waste Management Facility DOCP	PRJ24011
Lillooet Landfill Annual Reporting 2023	PRJ24012
Nanaimo Landfill LFG Consultation Services	PRJ24013
UBC Composting Facility Conceptual Design	PRJ24014
Oliver LF Filling Plan	PRJ24015
Kamloops Landfills - Operational Support	PRJ24016
Islands Landfill 2024 Flare Service and LFG System Inspection	PRJ24017
Howe Sound Pulp and Paper Engineering	PRJ24018
Bailey Sanitary Landfill Filling Plan	PRJ24019
Mission Flats Landfill DOCP Update	PRJ24020
Lillooet Landfill - Hjerpe Response Letter	PRJ24021
DSS Landfill Flare Monthly Inspection and Monitoring 2024	PRJ24022
Central Subregion Landfill - OC review	PRJ24023
Squamish Landfill Expansion Phasing Letter Report	PRJ24024
DSS Monitoring 2024	PRJ24025
Hope Monitoring 2024	PRJ24026
Cranberry Pit Landfill Engineering 2024	PRJ24027
Campbell Mtn Landfill - Test Pitting Investigation	PRJ24028
Columbia Valley Landfill - Progressive Closure Design	PRJ24029
Sparwood Landfill - Progressive Closure	PRJ24030
Whitecourt Landfill DOCP Update	PRJ24031
Whitecourt Landfill - Phase 2A Filling Plan	PRJ24032
7-Mile Landfill Annual Report and GHG Quantification	PRJ24033
Sparwood Landfill - OC Review	PRJ24034
Wasa Phase 2 ESA	PRJ24035
Kruger Mill Mitigation Dike	PRJ24036
Campbell Mtn Landfill - Baseline Biocover Scan	PRJ24037
HVC Annual Report 2023	PRJ24038
Lillooet Landfill - LFG Generation Assessment	PRJ24039
Squamish Landfill Gas Alarm Service	PRJ24040
